학년도,시도,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수
학년도,시도,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교
학년도,시도,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,일반계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고
2013,대구,0.7,0.4,0.5,1.4,0,0,0.8,1.6,3.4,0.9,2379,478,496,1405,0,0,517,56,658,174,334369,136309,94394,103666,0,0,62136,3409,19114,19007
2014,대구,0.6,0.3,0.4,1.2,0,0,0.7,3,3,0.6,1950,394,374,1182,0,0,408,102,556,116,319972,131765,89291,98916,0,0,59025,3394,18336,18161
2015,대구,0.6,0.3,0.4,1.2,0,0,0.6,1.9,3.3,0.6,1750,358,293,1099,0,0,366,75,553,105,305764,129583,80982,95199,0,0,56869,3964,16894,17472
2016,대구,0.7,0.4,0.4,1.4,0,0,0.8,2.5,3.8,0.6,1994,465,273,1256,0,0,436,99,619,102,291370,125541,73925,91904,0,0,54753,3963,16261,16927
2017,대구,0.7,0.4,0.4,1.3,0,0,0.8,2,3.5,0.7,1948,493,292,1163,0,0,437,89,523,114,280265,124708,68893,86664,0,0,51583,4464,14738,15879
2018,대구,0.7,0.4,0.5,1.4,0,0,1,2,3.4,0.7,1936,530,311,1095,0,0,453,85,458,99,269570,125160,66165,78245,0,0,47038,4327,13462,13418
2019,대구,0.7,0.4,0.6,1.5,0,0,1,2.2,3.5,1,1933,535,351,1047,0,0,409,91,431,116,259606,126122,62539,70945,0,0,42377,4150,12280,12138
1999,인천,0.9,0.3,0.9,2,0.8,3.8,0,0,0,0,3914,683,941,2290,524,1766,0,0,0,0,460440,240782,105634,114024,68128,45896,0,0,0,0
2000,인천,1,0.3,0.9,2.6,1,5,0,0,0,0,4440,696,982,2762,706,2056,0,0,0,0,459449,245716,105546,108187,67455,40732,0,0,0,0
2001,인천,1,0.4,1,2.3,1.1,4.3,0,0,0,0,4373,999,1014,2360,737,1623,0,0,0,0,459966,250264,106012,103690,66138,37552,0,0,0,0
2002,인천,0.8,0.4,0.8,1.9,1,3.8,0,0,0,0,3655,906,827,1922,658,1264,0,0,0,0,457562,250477,107810,99275,66210,33065,0,0,0,0
